Src IP Addr,Dst IP Addr,Date first seen,Date first seen timestamp,Duration,Proto,Src Pt,Dst Pt,Packets,Bytes
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:17.641, 1620942977.641,     0.000, UDP  ,     53,  50944,        1,      116
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:17.642, 1620942977.642,     0.000, UDP  ,  60975,     53,        1,       34
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:17.642, 1620942977.642,     0.000, UDP  ,     53,  60975,        1,      109
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:17.643, 1620942977.643,     0.000, UDP  ,  53290,     53,        1,       39
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:17.684, 1620942977.684,     0.000, UDP  ,     53,  53290,        1,      199
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:17.739, 1620942977.739,     0.000, UDP  ,  64990,     53,        1,       33
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:17.781, 1620942977.781,     0.000, UDP  ,     53,  64990,        1,       49
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:18.057, 1620942978.057,     0.000, UDP  ,  64416,     53,        1,       43
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:18.107, 1620942978.107,     0.000, UDP  ,     53,  64416,        1,      276
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:18.217, 1620942978.217,     0.000, UDP  ,  54568,     53,        1,       38
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:18.217, 1620942978.217,     0.000, UDP  ,  60651,     53,        1,       43
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:18.261, 1620942978.261,     0.000, UDP  ,     53,  54568,        1,       54
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:18.268, 1620942978.268,     0.000, UDP  ,     53,  60651,        1,       88
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:18.450, 1620942978.450,     0.000, UDP  ,  55570,     53,        1,       35
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:18.506, 1620942978.506,     0.000, UDP  ,     53,  55570,        1,       87
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:18.736, 1620942978.736,     0.000, UDP  ,  64525,     53,        1,       33
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:18.780, 1620942978.780,     0.000, UDP  ,     53,  64525,        1,       49
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:19.769, 1620942979.769,     0.000, UDP  ,  59041,     53,        1,       36
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:19.821, 1620942979.821,     0.000, UDP  ,     53,  59041,        1,      118
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:23.722, 1620942983.722,     0.000, UDP  ,  59318,     53,        1,       29
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:23.776, 1620942983.776,     0.000, UDP  ,     53,  59318,        1,      141
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:24.417, 1620942984.417,     0.000, UDP  ,  52208,     53,        1,       48
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:24.418, 1620942984.418,     0.000, UDP  ,     53,  52208,        1,      124
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:24.418, 1620942984.418,     0.000, UDP  ,  62318,     53,        1,       46
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:24.418, 1620942984.418,     0.000, UDP  ,     53,  62318,        1,      122
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:24.419, 1620942984.419,     0.000, UDP  ,  63406,     53,        1,       51
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:24.419, 1620942984.419,     0.000, UDP  ,  56649,     53,        1,       40
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:24.419, 1620942984.419,     0.000, UDP  ,     53,  63406,        1,      127
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:24.419, 1620942984.419,     0.000, UDP  ,  51077,     53,        1,       42
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:24.419, 1620942984.419,     0.000, UDP  ,  63903,     53,        1,       45
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:24.469, 1620942984.469,     0.000, UDP  ,     53,  56649,        1,      115
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:24.469, 1620942984.469,     0.000, UDP  ,     53,  51077,        1,      117
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:24.469, 1620942984.469,     0.000, UDP  ,     53,  63903,        1,      120
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:25.651, 1620942985.651,     0.000, UDP  ,  54131,     53,        1,       40
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:25.651, 1620942985.651,     0.000, UDP  ,     53,  54131,        1,      116
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:25.652, 1620942985.652,     0.000, UDP  ,  63839,     53,        1,       34
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:25.652, 1620942985.652,     0.000, UDP  ,     53,  63839,        1,      109
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:25.989, 1620942985.989,     0.000, UDP  ,  49720,     53,        1,       41
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:26.101, 1620942986.101,     0.000, UDP  ,     53,  49720,        1,       57
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:30.251, 1620942990.251,     0.000, UDP  ,  61901,     53,        1,       30
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:30.293, 1620942990.293,     0.000, UDP  ,     53,  61901,        1,       46
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:30.419, 1620942990.419,     0.000, UDP  ,  49692,     53,        1,       48
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:30.419, 1620942990.419,     0.000, UDP  ,     53,  49692,        1,      124
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:30.420, 1620942990.420,     0.000, UDP  ,  54032,     53,        1,       46
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:30.420, 1620942990.420,     0.000, UDP  ,     53,  54032,        1,      122
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:30.420, 1620942990.420,     0.000, UDP  ,  62879,     53,        1,       42
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:30.420, 1620942990.420,     0.000, UDP  ,     53,  62879,        1,      117
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:30.420, 1620942990.420,     0.000, UDP  ,  54050,     53,        1,       40
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:30.420, 1620942990.420,     0.000, UDP  ,     53,  54050,        1,      115
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:30.422, 1620942990.422,     0.000, UDP  ,  60629,     53,        1,       51
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:30.422, 1620942990.422,     0.000, UDP  ,     53,  60629,        1,      127
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:30.423, 1620942990.423,     0.000, UDP  ,  55753,     53,        1,       45
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:30.423, 1620942990.423,     0.000, UDP  ,     53,  55753,        1,      120
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:30.499, 1620942990.499,     0.000, UDP  ,  50991,     53,        1,       34
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:30.612, 1620942990.612,     0.000, UDP  ,     53,  50991,        1,      177
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:30.678, 1620942990.678,     0.000, UDP  ,  51406,     53,        1,       36
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:30.680, 1620942990.680,     0.000, UDP  ,  55176,     53,        1,       42
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:30.730, 1620942990.730,     0.000, UDP  ,     53,  51406,        1,      120
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:30.730, 1620942990.730,     0.000, UDP  ,     53,  55176,        1,      102
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:31.783, 1620942991.783,     0.000, UDP  ,  55226,     53,        1,       40
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:31.862, 1620942991.862,     0.000, UDP  ,     53,  55226,        1,      134
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:32.004, 1620942992.004,     0.000, UDP  ,  53802,     53,        1,       33
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:32.004, 1620942992.004,     0.000, UDP  ,  63076,     53,        1,       28
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:32.008, 1620942992.008,     0.000, UDP  ,  50574,     53,        1,       37
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:32.009, 1620942992.009,     0.000, UDP  ,  60149,     53,        1,       47
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:32.037, 1620942992.037,     0.000, UDP  ,  64165,     53,        1,       32
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:32.056, 1620942992.056,     0.000, UDP  ,  51874,     53,        1,       42
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:32.138, 1620942992.138,     0.000, UDP  ,  52386,     53,        1,       32
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:32.392, 1620942992.392,     0.000, UDP  ,     53,  63076,        1,       44
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:32.392, 1620942992.392,     0.000, UDP  ,     53,  53802,        1,       97
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:32.393, 1620942992.393,     0.000, UDP  ,     53,  50574,        1,      130
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:32.393, 1620942992.393,     0.000, UDP  ,     53,  60149,        1,      149
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:32.395, 1620942992.395,     0.000, UDP  ,     53,  64165,        1,      134
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:32.395, 1620942992.395,     0.000, UDP  ,     53,  51874,        1,       74
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:32.510, 1620942992.510,     0.000, UDP  ,     53,  52386,        1,       96
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:33.797, 1620942993.797,     0.000, UDP  ,  53038,     53,        1,       56
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:33.927, 1620942993.927,     0.000, UDP  ,     53,  53038,        1,      182
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:34.834, 1620942994.834,     0.000, UDP  ,  52553,     53,        1,       32
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:34.837, 1620942994.837,     0.000, UDP  ,  59689,     53,        1,       41
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:34.837, 1620942994.837,     0.000, UDP  ,  52260,     53,        1,       43
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:34.839, 1620942994.839,     0.000, UDP  ,  59607,     53,        1,       40
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:34.880, 1620942994.880,     0.000, UDP  ,     53,  52553,        1,      136
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:34.898, 1620942994.898,     0.000, UDP  ,     53,  59607,        1,       56
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:34.898, 1620942994.898,     0.000, UDP  ,     53,  59689,        1,      172
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:34.898, 1620942994.898,     0.000, UDP  ,     53,  52260,        1,      150
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:35.271, 1620942995.271,     0.000, UDP  ,  61099,     53,        1,       36
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:35.315, 1620942995.315,     0.000, UDP  ,     53,  61099,        1,      152
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:35.594, 1620942995.594,     0.000, UDP  ,  50081,     53,        1,       39
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:35.625, 1620942995.625,     0.000, UDP  ,     53,  50081,        1,       55
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:35.736, 1620942995.736,     0.000, UDP  ,  59183,     53,        1,       54
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:35.788, 1620942995.788,     0.000, UDP  ,     53,  59183,        1,      150
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:36.114, 1620942996.114,     0.000, UDP  ,  63163,     53,        1,       39
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:36.135, 1620942996.135,     0.000, UDP  ,  55639,     53,        1,       34
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:36.155, 1620942996.155,     0.000, UDP  ,     53,  63163,        1,      144
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:36.230, 1620942996.230,     0.000, UDP  ,     53,  55639,        1,      135
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:36.385, 1620942996.385,     0.000, UDP  ,  49919,     53,        1,       38
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:36.444, 1620942996.444,     0.000, UDP  ,     53,  49919,        1,      118
